Hhold.ID,Interview.Date,Fish.Date,KG.Catch,Total.Profit
AM13,7/17/2017,7/15/2017,2,700
CH02,8/18/2017,7/15/2017,0,0
NY25,7/18/2017,7/15/2017,0,0
AM12,7/20/2017,7/15/2017,0.5,260
AM12,7/20/2017,7/15/2017,0.5,260
CB01,7/18/2017,7/15/2017,0.5,180
DP01,7/18/2017,7/15/2017,1,500
DP01,7/18/2017,7/15/2017,1,500
NY18,7/18/2017,7/15/2017,2,600
KB01,7/17/2017,7/16/2017,1,600
CH18,7/17/2017,7/16/2017,0.5,160
CH18,7/17/2017,7/16/2017,0.5,160
KB01,7/17/2017,7/16/2017,1,600
CH28,7/17/2017,7/16/2017,1.5,400
CH28,7/17/2017,7/16/2017,1.5,400
AM09,7/17/2017,7/16/2017,3,1500
AM09,7/17/2017,7/16/2017,3,1500
KB03,7/17/2017,7/16/2017,1,600
KB03,7/17/2017,7/16/2017,1,600
KB07,7/17/2017,7/16/2017,2,700
KB07,7/17/2017,7/16/2017,2,700
KB05,7/17/2017,7/16/2017,2,700
KB05,7/17/2017,7/16/2017,2,700
CH32,7/17/2017,7/16/2017,2,250
AM06,7/17/2017,7/16/2017,3,1200
AM01,7/17/2017,7/16/2017,3,1600
AM01,7/17/2017,7/16/2017,3,1600
AM13,7/17/2017,7/16/2017,3,1200
AM13,7/17/2017,7/16/2017,3,1200
NY25,7/18/2017,7/16/2017,2,350
AM12,7/20/2017,7/16/2017,0.5,200
AM12,7/20/2017,7/16/2017,0.5,200
CB01,7/18/2017,7/16/2017,1,230
DP01,7/18/2017,7/16/2017,1,400
DP01,7/18/2017,7/16/2017,1,400
CH23,7/21/2017,7/16/2017,1,270
CH23,7/21/2017,7/16/2017,1,270
NY18,7/18/2017,7/16/2017,2,500
KB02,7/6/2017,7/16/2017,1,600
AM06,7/19/2017,7/16/2017,1,300
AM06,7/19/2017,7/16/2017,1,300
KB02,7/19/2017,7/16/2017,2,600
KB02,7/19/2017,7/16/2017,2,600
AM04,7/19/2017,7/16/2017,2,700
AM08,7/19/2017,7/16/2017,2,500
AM08,7/19/2017,7/16/2017,2,500
AM19,7/19/2017,7/16/2017,2,1200
AM19,7/19/2017,7/16/2017,2,1200
AM05,7/19/2017,7/16/2017,2,600
AM05,7/19/2017,7/16/2017,3,1600
AM05,7/19/2017,7/16/2017,3,1600
NY19,7/18/2017,7/17/2017,1,300
NY25,7/18/2017,7/17/2017,2,400
CB01,7/18/2017,7/17/2017,1,310
DP01,7/18/2017,7/17/2017,1.5,680
DP01,7/18/2017,7/17/2017,1.5,680
NY18,7/18/2017,7/17/2017,2,600
AM06,7/19/2017,7/17/2017,2,700
AM06,7/19/2017,7/17/2017,2,700
KB02,7/19/2017,7/17/2017,2,600
KB02,7/19/2017,7/17/2017,2,600
AM04,7/19/2017,7/17/2017,2,800
AM08,7/19/2017,7/17/2017,2,600
AM08,7/19/2017,7/17/2017,2,600
AM19,7/19/2017,7/17/2017,2,1200
AM19,7/19/2017,7/17/2017,2,1200
AM05,7/19/2017,7/17/2017,3,1600
AM05,7/19/2017,7/17/2017,3,1800
AM05,7/19/2017,7/17/2017,3,1800
CH05,7/24/2017,7/17/2017,1,230
CH05,7/24/2017,7/17/2017,1,230
AM21,7/20/2017,7/17/2017,2,1100
AM21,7/20/2017,7/17/2017,2,1100
AM20,7/20/2017,7/17/2017,2,680
AM10,7/20/2017,7/17/2017,2,900
AM10,7/20/2017,7/17/2017,2,900
AM11,7/20/2017,7/17/2017,2,500
AM10,7/20/2017,7/17/2017,2,900
AM10,7/20/2017,7/17/2017,2,900
KB04,7/20/2017,7/17/2017,2,400
KB06,7/20/2017,7/17/2017,2,700
AM06,7/19/2017,7/18/2017,2,900
AM06,7/19/2017,7/18/2017,2,900
KB02,7/19/2017,7/18/2017,2,700
KB02,7/19/2017,7/18/2017,2,700
AM04,7/19/2017,7/18/2017,2,700
AM08,7/19/2017,7/18/2017,2,500
AM08,7/19/2017,7/18/2017,2,500
AM19,7/19/2017,7/18/2017,3,1800
AM19,7/19/2017,7/18/2017,3,1800
AM05,7/19/2017,7/18/2017,2.5,1200
AM05,7/19/2017,7/18/2017,3,1500
AM05,7/19/2017,7/18/2017,3,1500
AM21,7/20/2017,7/18/2017,0,0
AM20,7/20/2017,7/18/2017,1,500
AM10,7/20/2017,7/18/2017,2,800
AM10,7/20/2017,7/18/2017,2,800
AM11,7/20/2017,7/18/2017,2,400
AM10,7/20/2017,7/18/2017,2,800
AM10,7/20/2017,7/18/2017,2,800
KB04,7/20/2017,7/18/2017,3,700
KB06,7/20/2017,7/18/2017,3,1200
AM12,7/20/2017,7/19/2017,1,500
AM12,7/20/2017,7/19/2017,1,500
CH23,7/21/2017,7/19/2017,2,450
CH23,7/21/2017,7/19/2017,2,450
AM21,7/20/2017,7/19/2017,1,500
AM21,7/20/2017,7/19/2017,1,500
AM20,7/20/2017,7/19/2017,2,900
AM10,7/20/2017,7/19/2017,1,400
AM10,7/20/2017,7/19/2017,1,400
AM11,7/20/2017,7/19/2017,2,500
AM10,7/20/2017,7/19/2017,2,900
AM10,7/20/2017,7/19/2017,2,900
KB04,7/20/2017,7/19/2017,3,700
KB06,7/20/2017,7/19/2017,3,1300
CH05,7/24/2017,7/20/2017,1,270
CH05,7/24/2017,7/20/2017,1,270
KB01,7/25/2017,7/20/2017,0,0
AM12,7/28/2017,7/20/2017,1,400
AM12,7/28/2017,7/20/2017,1,400
AM10,7/28/2017,7/20/2017,1,400
AM10,7/28/2017,7/20/2017,1,400
CB19,7/24/2017,7/20/2017,1.5,360
AM12,7/28/2017,7/21/2017,1,400
AM12,7/28/2017,7/21/2017,1,400
AM10,7/28/2017,7/21/2017,1,400
AM10,7/28/2017,7/21/2017,1,400
KB01,7/25/2017,7/21/2017,0,0
KB03,7/27/2017,7/21/2017,1.5,800
KB03,7/27/2017,7/21/2017,1.5,800
KB01,7/25/2017,7/22/2017,0,0
KB01,7/25/2017,7/22/2017,0,0
CB19,7/24/2017,7/22/2017,1,180
KB03,7/27/2017,7/22/2017,1,600
KB03,7/27/2017,7/22/2017,1,600
CH16,7/25/2017,7/22/2017,1,230
AM08,7/25/2017,7/22/2017,1,500
AM08,7/25/2017,7/22/2017,1,500
DP01,7/27/2017,7/22/2017,1,500
DP01,7/27/2017,7/22/2017,1,500
AM03,7/25/2017,7/22/2017,1,270
AM20,7/26/2017,7/22/2017,1,400
AM01,7/25/2017,7/22/2017,1,400
AM01,7/25/2017,7/22/2017,1,400
KB07,7/25/2017,7/22/2017,2,700
KB07,7/25/2017,7/22/2017,2,700
KB05,7/25/2017,7/22/2017,2,900
KB05,7/25/2017,7/22/2017,2,900
NY18,7/27/2017,7/22/2017,2,500
NY25,7/27/2017,7/22/2017,2,350
KB06,7/28/2017,7/22/2017,2,600
AM05,7/25/2017,7/22/2017,2,1200
CB22,7/25/2017,7/22/2017,0.4,90
CB22,7/25/2017,7/22/2017,0.4,90
CH06,7/26/2017,7/22/2017,5,300
CH05,7/24/2017,7/23/2017,1,230
CH05,7/24/2017,7/23/2017,1,230
CB19,7/24/2017,7/23/2017,1,270
CH16,7/25/2017,7/23/2017,1,270
AM08,7/25/2017,7/23/2017,1,600
AM08,7/25/2017,7/23/2017,1,600
DP01,7/27/2017,7/23/2017,1,300
DP01,7/27/2017,7/23/2017,1,300
AM03,7/25/2017,7/23/2017,1,270
AM01,7/25/2017,7/23/2017,3,1200
AM01,7/25/2017,7/23/2017,3,1200
KB07,7/25/2017,7/23/2017,1,500
KB07,7/25/2017,7/23/2017,1,500
KB05,7/25/2017,7/23/2017,2,600
KB05,7/25/2017,7/23/2017,2,600
NY18,7/27/2017,7/23/2017,2,900
AM05,7/25/2017,7/23/2017,2,1000
CB22,7/25/2017,7/23/2017,0.8,200
CB22,7/25/2017,7/23/2017,0.8,200
CH06,7/26/2017,7/23/2017,5,300
AM06,7/26/2017,7/23/2017,1,700
CB20,7/27/2017,7/23/2017,2,630
AM13,7/26/2017,7/23/2017,2,600
AM13,7/26/2017,7/23/2017,2,600
AM21,7/26/2017,7/23/2017,2,800
AM21,7/26/2017,7/23/2017,2,800
AM04,7/26/2017,7/23/2017,2,600
AM06,7/26/2017,7/23/2017,3,1300
CB07,8/8/2017,7/23/2017,1,240
KB01,7/25/2017,7/24/2017,1,300
KB01,7/25/2017,7/24/2017,1,300
CH16,7/25/2017,7/24/2017,1,230
AM08,7/25/2017,7/24/2017,1,500
AM08,7/25/2017,7/24/2017,1,500
AM03,7/25/2017,7/24/2017,4,1080
AM01,7/25/2017,7/24/2017,3,1100
AM01,7/25/2017,7/24/2017,3,1100
KB07,7/25/2017,7/24/2017,1,500
KB07,7/25/2017,7/24/2017,1,500
KB05,7/25/2017,7/24/2017,2,700
KB05,7/25/2017,7/24/2017,2,700
AM05,7/25/2017,7/24/2017,3,1500
CB22,7/25/2017,7/24/2017,1.5,450
CB22,7/25/2017,7/24/2017,1.5,450
CH06,7/26/2017,7/24/2017,4,250
AM06,7/26/2017,7/24/2017,1,600
AM20,7/26/2017,7/24/2017,2,700
AM21,7/26/2017,7/24/2017,2,800
AM21,7/26/2017,7/24/2017,2,800
AM04,7/26/2017,7/24/2017,2,500
AM06,7/26/2017,7/24/2017,3,1000
CB07,8/8/2017,7/24/2017,0.5,170
CB03,7/27/2017,7/24/2017,0.5,120
CB04,7/27/2017,7/24/2017,1,180
CH14,7/27/2017,7/24/2017,1.5,450
CB02,7/27/2017,7/24/2017,2,300
CB06,8/27/2017,7/24/2017,1,180
AM06,7/26/2017,7/25/2017,1,600
AM20,7/26/2017,7/25/2017,1,500
AM21,7/26/2017,7/25/2017,2,700
AM21,7/26/2017,7/25/2017,2,700
AM04,7/26/2017,7/25/2017,2,600
AM06,7/26/2017,7/25/2017,2,400
CB07,8/8/2017,7/25/2017,1,240
CB03,7/27/2017,7/25/2017,1,330
CB04,7/27/2017,7/25/2017,1.5,225
CH14,7/27/2017,7/25/2017,1,270
CB20,7/27/2017,7/25/2017,1,360
NY25,7/27/2017,7/25/2017,2,450
KB06,7/28/2017,7/25/2017,2,500
CB02,7/27/2017,7/25/2017,2,250
CB06,8/27/2017,7/25/2017,1.5,225
KB02,7/28/2017,7/25/2017,0,0
KB02,7/28/2017,7/25/2017,0,0
AM19,7/28/2017,7/25/2017,1,500
AM19,7/28/2017,7/25/2017,1,500
AM11,7/28/2017,7/25/2017,2,600
CB03,7/27/2017,7/26/2017,0.5,160
